date,run_pipeline,link_id,sampleid,condition,replicate,tissue,Lane,SI_Index,index1,index2,project,project_orig,method,submethod,reference,chemistry,flowcell,seq_dir,min_umis,min_genes,percent_mito,cellbender_expected_cells,cellbender_total_droplets_included,focus,append,calc_signature_scores,introns
5/5/25,TRUE,1181512_IEL_Normal_TI_27k_rep,,,,,3,SI-TT-E3,,,,,multiome,rna,GRCh38-2024-A,ARC-v1,A22TY2KLT4,gs://seq_bucket/walkup/WALKUP-18277/250506_SL-EXA_0501_A22TY2KLT4/1898_1746727656,,,,,,,,,FALSE
5/5/25,TRUE,1181511_IEL_Inflamed_TI_6_5k_rep,,,,,3,SI-TT-F3,,,,,multiome,rna,GRCh38-2024-A,ARC-v1,A22TY2KLT4,gs://seq_bucket/walkup/WALKUP-18277/250506_SL-EXA_0501_A22TY2KLT4/1898_1746727656,,,,,,,,,FALSE
5/5/25,TRUE,1181512_LPL_Normal_TI_27k_rep,,,,,3,SI-TT-G3,,,,,multiome,rna,GRCh38-2024-A,ARC-v1,A22TY2KLT4,gs://seq_bucket/walkup/WALKUP-18277/250506_SL-EXA_0501_A22TY2KLT4/1898_1746727656,,,,,,,,,FALSE
5/5/25,TRUE,1181511_LPL_Inflamed_TI_27k_rep,,,,,3,SI-TT-H3,,,,,multiome,rna,GRCh38-2024-A,ARC-v1,A22TY2KLT4,gs://seq_bucket/walkup/WALKUP-18277/250506_SL-EXA_0501_A22TY2KLT4/1898_1746727656,,,,,,,,,FALSE
8/7/25,TRUE,1181270_IEL_Normal_TI_2k,,,,,8,SI-TT-G6,,,,,multiome,rna,GRCh38-2024-A,ARC-v1,A22YYWGLT4,gs://seq_bucket/walkup/WALKUP-18750/250807_SL-EXQ_0147_A22YYWGLT4/2248_1754688187,,,,,,,,,FALSE
8/7/25,TRUE,1181270_IEL_Normal_TI_2k_rep,,,,,8,SI-TT-H6,,,,,multiome,rna,GRCh38-2024-A,ARC-v1,A22YYWGLT4,gs://seq_bucket/walkup/WALKUP-18750/250807_SL-EXQ_0147_A22YYWGLT4/2248_1754688187,,,,,,,,,FALSE
8/7/25,TRUE,1181270_LPL_Normal_TI_20k,,,,,8,SI-TT-E8,,,,,multiome,rna,GRCh38-2024-A,ARC-v1,A22YYWGLT4,gs://seq_bucket/walkup/WALKUP-18750/250807_SL-EXQ_0147_A22YYWGLT4/2248_1754688187,,,,,,,,,FALSE
8/7/25,TRUE,1181270_LPL_Normal_TI_20k_rep,,,,,8,SI-TT-F8,,,,,multiome,rna,GRCh38-2024-A,ARC-v1,A22YYWGLT4,gs://seq_bucket/walkup/WALKUP-18750/250807_SL-EXQ_0147_A22YYWGLT4/2248_1754688187,,,,,,,,,FALSE
8/7/25,TRUE,1181269_LPL_Inflamed_TI_20k,,,,,8,SI-TT-G8,,,,,multiome,rna,GRCh38-2024-A,ARC-v1,A22YYWGLT4,gs://seq_bucket/walkup/WALKUP-18750/250807_SL-EXQ_0147_A22YYWGLT4/2248_1754688187,,,,,,,,,FALSE
8/7/25,TRUE,1181269_LPL_Inflamed_TI_20k_rep,,,,,8,SI-TT-H8,,,,,multiome,rna,GRCh38-2024-A,ARC-v1,A22YYWGLT4,gs://seq_bucket/walkup/WALKUP-18750/250807_SL-EXQ_0147_A22YYWGLT4/2248_1754688187,,,,,,,,,FALSE
8/25/25,TRUE,1181512_IEL_Normal_TI_27k_rep,,,,,*,SI-NA-E9,,,,,multiome,atac,GRCh38-2024-A,ARC-v1,222FMY3NX,gs://fc-secure-15bf93cd-d43c-4a70-b7de-0ee36bf3a52a/WenkaiMultiome/bcl/250825_VH00997_445_222FMY3NX,,,,,,,,,FALSE
8/25/25,TRUE,1181511_IEL_Inflamed_TI_6_5k_rep,,,,,*,SI-NA-F9,,,,,multiome,atac,GRCh38-2024-A,ARC-v1,222FMY3NX,gs://fc-secure-15bf93cd-d43c-4a70-b7de-0ee36bf3a52a/WenkaiMultiome/bcl/250825_VH00997_445_222FMY3NX,,,,,,,,,FALSE
8/25/25,TRUE,1181512_LPL_Normal_TI_27k_rep,,,,,*,SI-NA-G9,,,,,multiome,atac,GRCh38-2024-A,ARC-v1,222FMY3NX,gs://fc-secure-15bf93cd-d43c-4a70-b7de-0ee36bf3a52a/WenkaiMultiome/bcl/250825_VH00997_445_222FMY3NX,,,,,,,,,FALSE
8/25/25,TRUE,1181511_LPL_Inflamed_TI_27k_rep,,,,,*,SI-NA-H9,,,,,multiome,atac,GRCh38-2024-A,ARC-v1,222FMY3NX,gs://fc-secure-15bf93cd-d43c-4a70-b7de-0ee36bf3a52a/WenkaiMultiome/bcl/250825_VH00997_445_222FMY3NX,,,,,,,,,FALSE
8/25/25,TRUE,1181270_IEL_Normal_TI_2k,,,,,*,SI-NA-A1,,,,,multiome,atac,GRCh38-2024-A,ARC-v1,222FMY3NX,gs://fc-secure-15bf93cd-d43c-4a70-b7de-0ee36bf3a52a/WenkaiMultiome/bcl/250825_VH00997_445_222FMY3NX,,,,,,,,,FALSE
8/27/25,TRUE,1181270_IEL_Normal_TI_2k_rep,,,,,*,SI-NA-B1,,,,,multiome,atac,GRCh38-2024-A,ARC-v1,AACWMJTHV,gs://fc-secure-15bf93cd-d43c-4a70-b7de-0ee36bf3a52a/WenkaiMultiome/bcl/250827_VH00997_446_AACWMJTHV,,,,,,,,,FALSE
8/27/25,TRUE,1181270_LPL_Normal_TI_20k,,,,,*,SI-NA-C1,,,,,multiome,atac,GRCh38-2024-A,ARC-v1,AACWMJTHV,gs://fc-secure-15bf93cd-d43c-4a70-b7de-0ee36bf3a52a/WenkaiMultiome/bcl/250827_VH00997_446_AACWMJTHV,,,,,,,,,FALSE
8/27/25,TRUE,1181270_LPL_Normal_TI_20k_rep,,,,,*,SI-NA-D1,,,,,multiome,atac,GRCh38-2024-A,ARC-v1,AACWMJTHV,gs://fc-secure-15bf93cd-d43c-4a70-b7de-0ee36bf3a52a/WenkaiMultiome/bcl/250827_VH00997_446_AACWMJTHV,,,,,,,,,FALSE
8/27/25,TRUE,1181269_LPL_Inflamed_TI_20k,,,,,*,SI-NA-E1,,,,,multiome,atac,GRCh38-2024-A,ARC-v1,AACWMJTHV,gs://fc-secure-15bf93cd-d43c-4a70-b7de-0ee36bf3a52a/WenkaiMultiome/bcl/250827_VH00997_446_AACWMJTHV,,,,,,,,,FALSE
8/27/25,TRUE,1181269_LPL_Inflamed_TI_20k_rep,,,,,*,SI-NA-F1,,,,,multiome,atac,GRCh38-2024-A,ARC-v1,AACWMJTHV,gs://fc-secure-15bf93cd-d43c-4a70-b7de-0ee36bf3a52a/WenkaiMultiome/bcl/250827_VH00997_446_AACWMJTHV,,,,,,,,,FALSE
